batch_id,species_group,global_key,queue,picked_by,image_url,labelbox_url
1,persicaria hydropiperoides,comb_DJI_20240912091709_0010_V_3681zoom.JPG,long_tail,queue,https://object-arbutus.cloud.computecanada.ca/20240912_bcifairchild_wpteste_m3e/DJI_202409120910_014_20240909bcinfairchildEm3ewaypointsall20240912T093122/DJI_20240912091709_0010_V_3681zoom.JPG,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cm60xiffl4zh30727fvtvj3f5
1,laguncularia racemosa,comb_DJI_20260114114441_0011_V_9557zoom.JPG,long_tail,queue,https://object-arbutus.cloud.computecanada.ca/20260114_bciarmour_wptne01_m3e/DJI_202601141130_009_bciarmour-wptne1/DJI_20260114114441_0011_V_9557zoom.JPG,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cmlbmw6fvgyoe07880ep5xcdg
1,sapium laurifolium,comb_DJI_20250924110028_0031_V_734zoom.JPG,long_tail,queue,https://object-arbutus.cloud.computecanada.ca/20250911_bci10haplot_wpt_m3e/DJI_202509241044_008_bci10haplot-wpt/DJI_20250924110028_0031_V_734zoom.JPG,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cmgtjs6n5mtmq0782m3l292s1
1,lacmellea panamensis,comb_DJI_20250523093753_0009_V_40zoom.JPG,long_tail,queue,https://object-arbutus.cloud.computecanada.ca/20250523_srfincaroubik_wpt_m3e/DJI_202505230933_015_2024bci-srfincaroubik-m3e-trees-selected-wpt/DJI_20250523093753_0009_V_40zoom.JPG,https://app.labelbox.com/projects/cmbgnuj0w04xy07vj50ia3wmd/data-rows/cmbgnlzqqcvwd0758sm0if99d
1,lacmellea panamensis,comb_DJI_20250106095849_0010_V_5602zoom.JPG,long_tail,queue,https://object-arbutus.cloud.computecanada.ca/20241231_bcitbarbour3o_wptover100sur_m3e/DJI_202501060953_021_tbarbour3otreesover100m2wptsur/DJI_20250106095849_0010_V_5602zoom.JPG,https://app.labelbox.com/projects/cm66wsv5u05pl070g92gt9vfv/data-rows/cm60yb5t94xvo0722l07vx7wc
1,boerhavia coccinea,comb_DJI_20240913114952_0016_V_3887zoom.JPG,long_tail,queue,https://object-arbutus.cloud.computecanada.ca/20240913_bcifairchild_wptse_m3e/DJI_202409131140_019_20240909bcinfairchildSEm3ewaypointsall20240912T180820/DJI_20240913114952_0016_V_3887zoom.JPG,https://app.labelbox.com/projects/cmbgnzmhu0bed07027vmxezzd/data-rows/cm60xkh1h4wyp0722wd1wrg95
1,comocladia guatemalensis,comb_DJI_20250806094434_0026_V_168zoom.JPG,long_tail,queue,https://object-arbutus.cloud.computecanada.ca/20250806_shermancrane_wptno_m3e/DJI_202508060922_006_shermancranewptno/DJI_20250806094434_0026_V_168zoom.JPG,https://app.labelbox.com/projects/cmbgnuj0w04xy07vj50ia3wmd/data-rows/cmf3h0oq98dk50702zk1qsk9i
1,tillandsia bulbosa,comb_DJI_20260322093453_0025_V_1032tele.JPG,long_tail,queue,https://object-arbutus.cloud.computecanada.ca/20250811_bcifairchild_wpt_m3e/DJI_202603220925_021_2024bci-bcifairchild-wpt-m3e/DJI_20260322093453_0025_V_1032tele.JPG,
1,clusia multiflora,comb_DJI_20250813124153_0029_V_8943zoom.JPG,long_tail,queue,https://object-arbutus.cloud.computecanada.ca/20250813_bci50haplot_wptnorte2_m3e/DJI_202508131227_012_bci50haplot-wptnorte2/DJI_20250813124153_0029_V_8943zoom.JPG,https://app.labelbox.com/projects/cme99tjc606h4075147dfd6j6/data-rows/cmexnup1c2av00733bgwwqp84
1,spondias purpurea,comb_DJI_20260311165222_0005_V_11021tele.JPG,long_tail,queue,https://object-arbutus.cloud.computecanada.ca/20251014_bcitbarbour3n_wptno_m3e/DJI_202603111631_001_2024bci-bcitbarbour3n-wptno-m3e/DJI_20260311165222_0005_V_11021tele.JPG,
